Case Number,Diagnos-tician,State,County,Area,Histo Number,Species,Year,No. Rec.,Sex,Age,Weight,Diagnosis,Other/Comments,Date Rec.,Date Final,Submitter,Agency,
353-15,Bahnson,GA,Glynn,Jekyll Island,"W16-90, 91, 92, 93",Raccoon,2015,4,Both,"Adult, Juv",0.64-4.4 kg,"A,B,&D: Rabies.  C: Emaciation. Rabies virus and canine distemper virus not detected.","#M15030, #M15044, #M15045, #M15048",08/09/2015,09/25/15,Ricks,GADNR,
403-14,Elsmo,MS,Lafayette,A: East Lafayette Co near Hwy 314. B: Oxford,W15-173,Raccoon,2014,2,Male,Adult,"3.5, 5.2 kg","A: Meningitis, cause unknown. B: Canine distemper virus",Rabies not detected,12/17/14,01/29/15,Holder,MSDWFP,
078-17,Niedringhaus,GA,Glynn,Jekyll Island,W17-439,Raccoon,2017,3,Male,"A, C: Adult. B: Juvenile.",A: 7.12 kg. B: 3.53 kg. C: 4.09 kg.,A: Rabies. B and C. Parvoviral enteritis,Infection with canine distemper virus was not detected in any raccoon.,02/02/2017,03/23/17,Mixon,GADNR,
220-18,Dalton,GA,Glynn,Jekyll Island,W18-522 - W18-524,Raccoon,2018,3,Male,Adult,A: 8.75 kg. B: 2.9 kg. C: 5.1 kg,"A: Suspected canine distemper,  B and C: Rabies.",A: #M18001. B: #X-18. C: #M18016.,06/04/2018,06/27/18,Horan,GADNR,
424-17,Bahnson,VA,"Gloucester, City of Hampton",Rural,"W18-079, W18-118, W18-119",Raccoon,2017,3,A-C: Female,A: 4 mths. B: 24 wks. C: 14 wks.,A: 1.1 kg. B: 1.5 kg. C: 1.5 kg.,A-C Canine distemper,Rabies virus not detected in any raccoon.,08/17/17,09/18/17,Kirchgessner,VADGIF,
277-19,Dugovich,FL,Lee,"Eagle Road, Cape Coral",W19-686 - W19-688,Raccoon,2019,3,Female,Juvenile,A: 375 g. B: 400 g. C: 410 g.,A-C: Canine parvovirus,,06/13/19,07/11/2019,Barron/Shender,CROW/ FLFWCC,
305-18,Nemeth,LA,Ascension,"Coon Trap Road, Gonzales",W19-032,Raccoon,2018,1,Female,Adult,3.74 kg,Acute bacterial sepsis,#COON-AF-Ascension-13July2018. Canine distemper and rabies viruses were not detected.,07/18/18,10/30/18,LeBlanc/LaCour,LADWF,
516-17,Niedringhaus,PA,Allegheny,Ross Township,W18-146,Raccoon,2017,4,"A, C: Male. B, D: Female.",A-D: Adult. ,A: 3.08 kg. C: 2.54 kg. C: 2.53 kg. D: 2.62 kg.,A-D: Canine distemper,#17WH0013. A: R536. B: R538. C: R539. D: R541.,09/20/17,10/11/2017,Brown,PAGC,
611-16,Bryan,LA,St. Tammany,Queen Ann Drive,W17-262,Raccoon,2016,1,Female,Adult,4.8 kg,Advanced tooth wear and multiple age-related changes,Rabies and canine distemper virus were not detected.,10/28/16,11/30/16,Yeldell/LaCour,FLFWCC,
096-14,Last,LA,Vermilion,UTM 15R 547446E 3321630N,W14-101,Raccoon,2014,1,Female,Adult,4.4 kg,Anticoagulant rodenticide (brodifacoum) intoxication,Liver level concentration was 2.6 PPM.,03/20/14,05/09/2014,Legleu,LADWF,
417-16,Dalton,CO,Adams,Westminster,-,Raccoon,2016,1,Male,Juvenile,Unknown,Apicomplexan protozoa were not detected.,WHE #16-646,08/12/2016,09/23/16,Fox,COPW,
466-17,Niedringhaus,LA,St. Tammany,"Robinhood Drive, Covington",W18-123,Raccoon,2017,1,Female,Adult,4.95 kg,Aspiration pneumonia ,#COON-AR-St.Tammany-30August2017. Rabies and canine distemper viruses were not detected.,08/31/17,09/28/17,"LeBlanc, LaCour",LADWF,
227-19,Niedringhaus,LA,East Baton Rouge,Unknown,W19-625,Raccoon,2019,1,Female,Adult,2.95 kg,Bacterial enteritis (Escherichia coli isolated); bacteremia,#COON-UU-EastBatonRouge-20May2019.  Rabies virus and canine distemper virus were not detected.,05/21/19,06/19/19,Anderson/LaCour,LADWF,
216-15,Niedringhaus,KS,Russell,Lucas,W15-383,Raccoon,2015,1,Male,Adult,5.05 kg,Bacterial sepsis; Streptococcus sp. isolated,Rabies or canine distemper virus not detected,05/14/15,06/10/2015,Hesting,KSDWPT,
603-16,Bryan,LA,Jefferson,"Cedar Lawn Drive, Marrero",W17-257,Raccoon,2016,1,Female,Adult,4.4 kg,Bromethalin exposure; trauma,No evidence of infection with rabies virus or canine distemper virus was detected.,10/26/16,12/21/16,Phelps/LaCour,LADWF,
660-18,Niedringhaus,LA,Jefferson,"8th Street, Gretna",W19-306,Raccoon,2018,1,Female,Adult,Unknown,Bromethalin intoxication,#COON-AF-Jefferson-29November2018.  Tracel level of the bromethalin metabolite desmethylbromethalin was detected.,11/30/18,01/04/2019,Anderson/LaCour,LADWF,
092-17,Dalton,LA,Ascension,"Little Prairie Road, Prairieville",W17-469,Raccoon,2017,1,Male,Adult,Unknown,Bronchointerstitial pneumonia (suspect canine distemper),"#RC-AM-Ascension-9Feb2017. Lesions in the lung were suggestive of canine distemper, although molecular testing for canine distemper virus was negative.",02/14/17,04/12/2017,Anderson/LaCour,LADWF,
001-14,Elsmo,LA,Rapides,"Arlington Drive, Pineville",,Raccoon,2014,1,Female,Adult,4.09 kg,Canine distemper,Negative for rabies.,01/03/2014,01/15/14,Berry,LADWF,
044-14,Fenton,LA,Caddo,Sentinary Blvd; Shreveport,,Raccoon,2014,1,Female,Unknown,Unknown,Canine distemper,Negative for rabies,01/28/14,02/20/14,Taube,LADWF,
099-14,Last,LA,Rapides,Cleco,W14-102,Raccoon,2014,1,Female,Adult,3.02 kg,Canine distemper,Negative for rabies,03/21/14,05/09/2014,Berry,LADWF,
144-14,Last,KY,Carter,near Carter Caves State Park,W14-176,Raccoon,2014,1,Male,Adult,2.98 kg,Canine distemper,Negative for rabies.,04/30/14,05/15/14,Mauro,KYDFWR,
145-14,Last,LA,East Baton Rouge,Baton Rouge,W14-177,Raccoon,2014,1,Male,Young Adult,3.1 kg,Canine distemper,Negative for rabies.,04/30/14,05/15/14,Ernst,LADWF,
058-15,Niedringhaus,GA,Glynn,Pine Lakes Golf Club,W15-253,Raccoon,2015,1,Female,Adult,2.2 kg,Canine distemper,#14036,02/23/15,04/03/2015,Ricks,GADNR,
114-15,Elsmo,MO,Greene,No Reported,W15-300,Raccoon,2015,1,Female,Adult,3.34 kg,Canine distemper,Rabies not detected,03/24/15,05/19/15,,,
498-15,Bryan,GA,Fulton,Roswell,W16-267,Raccoon,2015,1,Male,Juvenile,4.5 kg,Canine distemper,Rabies not detected,09/28/15,10/22/15,Jordan,GADNR,
588-15,Niedringhaus,GA,Clarke,"UGA Grounds Headquarter, Statistics Department",W16-339,Raccoon,2015,1,Female,Sub-adult,3.7 kg,Canine distemper,Rabies not detected,10/28/15,11/24/15,Johnson,UGA Police,
643-15,Elsmo,KY,Fayette,Private residence,W16-384,Raccoon,2015,1,Female,Adult,3.9 kg,Canine distemper,#KDFWR-W-2015-101.  Rabies not detected,11/30/15,01/05/2016,Stasiak,KYDFWR,
002-16,Bahnson,NC,Gaston,E. Garrison Blvd,W16-422,Raccoon,2016,1,Female,Juvenile,3.36 kg,Canine distemper,Rabies not detected,01/05/2016,02/16/16,Ray,NCWRC,
018-16,Niedringhaus,KY,Taylor,"South Ridge Road, Campbellsville",W16-438,Raccoon,2016,1,Male,Adult,4.905 kg,Canine distemper,#KDFWR-W-2016-06. Rabies not detected,01/13/16,02/08/2016,Gray/Stasiak,KYDFWR,
072-16,Niedringhaus,KS,Lyon,within city of Olpe,W16-506,Raccoon,2016,1,Male,Subadult,3.345 kg,Canine distemper,Rabies not detected.,02/09/2016,03/22/16,Hesting,KSDWPT,
177-16,Niedringhaus,KY,Woodford,Versailles,W16-623,Raccoon,2016,1,Male,Unknown,4.54 kg,Canine distemper,#KDFWR-W-2016-30.  Rabies was not detected.,03/31/16,05/09/2016,Stasiak,KYDFWR,
190-16,Ruder,MO,Platte,Unknown,W16-651,Raccoon,2016,1,Male,Adult,4.2 kg,Canine distemper,#16038.  Rabies not detected.,04/06/2016,06/13/16,Batten/Straka,MODOC,
203-16,Bryan,TN,Giles,Pulaski,W16-639,Raccoon,2016,1,Female,Young Adult,3.3 kg,Canine distemper,Rabies not detected,04/14/16,07/06/2016,Lavacot,TNWRA,
210-16,Niedringhaus,KY,Taylor,"Roachville Road, Campbellsville",W16-657,Raccoon,2016,1,Male,Adult,2.1 kg,Canine distemper,#KDFWR-W-2016-63.  Rabies not detected,04/19/16,06/01/2016,Mason,KYDFWR,
229-16,Bahnson,LA,Tangipahoa,Kentwood,W16-678,Raccoon,2016,1,Male,Adult,3.63 kg,Canine distemper,#RC16-001. Rabies not detected,04/28/16,06/28/16,LaCour,LADWF,
234-16,Bryan,AL,Calhoun,"Church Field Street, Jacksonville",W16-700,Raccoon,2016,1,Male,Subadult,4 kg,Canine distemper,Rabies not detected,05/03/2016,06/28/16,Bryant,ALDWFF,
236-16,Bryan,KY,Woodford,Rose Lane,W16-714,Raccoon,2016,1,Male,Adult,4 kg,Canine distemper,#KDFWR-W-2016-69.  Rabies not detected,05/03/2016,06/28/16,Stasiak,KYDFWR,
256-16,Elsmo,MO,Madison,Fredericktown,W16-696,Raccoon,2016,1,Unknown,Unknown,Unknown,Canine distemper,#16061. Rabies not detected,05/13/16,06/28/16,Lockard/Straka,MODOC,
388-16,Niedringhaus,KS,Osage,Pomona State Park,W17-55,Raccoon,2016,1,Female,Adult,3.43 kg,Canine distemper,Rabies not detected,08/02/2016,08/22/16,Hesting,KSDWPT,
483-16,Ruder,KY,Montgomery,"Brookmede Drive, Mount Sterling",W17-151,Raccoon,2016,1,Male,Adult,3 kg,Canine distemper,#KDFWR-W-2016-98,09/09/2016,10/13/16,"Stewart, Stasiak",KYDFWR,
544-16,Niedringhaus,KY,Pulaski,"370335.50, -843701.21",W17-192,Raccoon,2016,1,Female,Adult,4.465 kg,Canine distemper,#KDFWR-W-2016-92,09/29/16,11/21/16,Catron/Stasiak,KYDFWR,
038-17,Dalton,KY,Pulaski,"Jonathon Lane, Somerset",W17-398,Raccoon,2017,1,Female,Adult,4 kg,Canine distemper,#KDFWR-W-2017-02. Rabies not detected,01/12/2017,02/17/17,Catron/Stasiak,KYDFWR,
051-17,Bryan,GA,Clarke,Winterville,W17-417,Raccoon,2017,1,Male,Subadult,3.8 kg,Canine distemper,"Rabies and Francisella tularensis, the causative agent of tularemia, were not detected.",01/19/17,03/14/17,Anderson/Johannsen,GADNR,
094-17,Dalton,KS,Pottawatomie,St. Marys,W17-470,Raccoon,2017,1,Female,Adult,2.3 kg,Canine distemper,Rabies not detected,02/14/17,03/06/2017,Thornburg,KSDWPT,
102-17,Dalton,MO,Camden,Lake Ozark,W17-478,Raccoon,2017,1,Female,Adult,4.2 kg,Canine distemper,WHP #17018,02/17/17,04/12/2017,Batten/Lockard,MODOC,
103-17,Dalton,MO,Callaway,Fulton,W17-479,Raccoon,2017,1,Male,Adult,3.7 kg,Canine distemper,WHP #17019,02/17/17,03/06/2017,Batten/Lockard,MODOC,
200-17,Dalton,LA,Rapides,"Paradise Point, Ball",W17-605,Raccoon,2017,1,Male,Adult,3.3 kg,Canine distemper,Rabies not detected,04/11/2017,04/25/17,Berry,LADWF,
209-17,Bryan,NC,Onslow,Camp Lejeune,W17-613,Raccoon,2017,1,Male,Subadult,3.2 kg,Canine distemper,Rabies not detected,04/20/17,05/11/2017,Stanford,NCWRC,
220-17,Niedringhaus,KS,Lyon,"38.375238N, -95.939978W",W17-626,Raccoon,2017,1,Male,Adult,3.74 kg,Canine distemper,Rabies not detected,04/25/17,05/19/17,Hesting,KSDWPT,
382-17,Bahnson,WV,Randolph,Marpel Road Valley Head,W18-70,Raccoon,2017,1,Male,Immature,1.26 kg,Canine distemper,Rabies not detected,08/08/2017,08/28/17,Crum,WVDNR,
498-17,Bahnson,LA,Lafayette ,"Wilcox Road, Lafayette",W18-139,Raccoon,2017,1,Male,Juvenile,1.28 kg,Canine distemper,#COON-JM-Lafayette-12September2017. Rabies virus and parvovirus were not detected.,09/14/17,10/11/2017,Anderson/LaCour,LADWF,
533-17,Niedringhaus,PA,Allegheny,Ross Township,W18-152,Raccoon,2017,1,Female,Juvenile,1.37 kg,Canine distemper,#17SW0025. No rabies virus was detected.,09/22/17,10/11/2017,Trusso/Brown,PAGC,
595-17,Niedringhaus,MO,Randolph,Huntsville,W18-177,Raccoon,2017,1,Female,Adult,3.105 kg,Canine distemper,Rabies virus was not detected,10/06/2017,10/19/17,Batten/Russell,MODOC,
042-18,Bahnson,NC,Brunswick,Brunswick Forest Subdivision,W18-361,Raccoon,2018,1,Male,Adult,3.02 kg,Canine distemper,Rabies virus was not detected. Chronic wasting disease virus prion was not detected.,02/06/2018,02/16/18,Harrelson,NCWRC,
043-18,Bahnson,KY,Montgomery,37.5825.5 83.4958.7,W18-362,Raccoon,2018,1,Female,Adult,2.58 kg,Canine distemper,#KDFWR-W-2018-07.  Rabies virus was not detected.,02/06/2018,02/16/18,Mattox/Stasiak,KYDFWR,
049-18,Bahnson,KS,Rawlings,Atwood,W18-372,Raccoon,2018,1,Female,Adult,4.6 kg,Canine distemper,Rabies virus was not detected. ,02/08/2018,02/22/18,Klag/Hesting,KSDWPT,
086-18,Bahnson,GA,Clarke,North Oconee River Greenway,W18-402,Raccoon,2018,1,Male,Adult,2.9 kg,Canine distemper,Rabies not detected,03/08/2018,03/19/18,Johannsen,GADNR,
104-18,Bahnson,KY,Fayette,"Bethel Road, Lexington",W18-420,Raccoon,2018,1,Male,Adult,4.16 kg,Canine distemper,#KDFWR-W-2018-23. Rabies virus not detected.,03/16/18,03/23/18,Smitson/Stasiak,KYDFWR,
139-18,Niedringhaus,VA,Virginia Beach,Great Neck,W18-458,Raccoon,2018,1,Male,Adult,4.6 kg,Canine distemper,Rabies virus was not detected.,04/10/2018,04/26/18,Kirchgessner,VADGIF,
141-18,Niedringhaus,KY,Menifee,East Fork Road,W18-460,Raccoon,2018,1,Male,Juvenile,3.1 kg,Canine distemper,#KDFWR-W-2018-29.  Rabies virus was not detected.,04/11/2018,04/26/18,Gregory/Stasiak,KYDFWR,
143-18,Niedringhaus,VA,Virginia Beach,Virginia Beach,W18-462,Raccoon,2018,1,Female,Adult,3.52 kg,Canine distemper,Rabies virus was not detected.,04/11/2018,04/26/18,Kirchgessner,VADGIF,
366-18,Niedringhaus,KY,Rowan,Bull Fork Road,W19-085,Raccoon,2018,1,Female,Adult,2.75 kg,Canine distemper,#KDFWR-W-2018-87. Rabies virus was not detected.,08/14/18,08/31/18,Gregory/Hemberger,KYDFWR,
409-18,Niedringhaus,LA,St. Tammany,"Forest Circle, Slidell",W19-116,Raccoon,2018,1,Female,Juvenile,1.375 kg,Canine distemper,#COON-AF-SaintTammany-24August2018. Rabies virus was not detected.,08/28/18,09/13/18,LeBlanc/LaCour,LADWF,
484-18,Ruder,LA,St. Tammany,"Dogwood Road, Abita",W19-166,Raccoon,2018,1,Male,Adult,2.95 kg,Canine distemper,#COON-AM-St. Tammany-20September2018. Rabies virus was not detected.,09/21/18,10/05/2018,Day/LaCour,LADWF,
489-18,Niedringhaus,LA,Tangipahoa,"West Brickyard Road, Springfield",W19-168,Raccoon,2018,1,Male,Juvenile,2.405 kg,Canine distemper,#COON-JM-Tangipahoa-21September2018. Rabies virus was not detected.,09/25/18,11/07/2018,Anderson/LaCour,LADWF,
503-18,Niedringhaus,LA,St. Tammany,"Lenwood, Slidell",W19-178,Raccoon,2018,1,Female,Adult,3.42 kg,Canine distemper,#COON-AF-StTammany-26September2018. Rabies virus was not detected.,09/27/18,10/11/2018,Anderson/LaCour,LADWF,
656-18,Niedringhaus,LA,East Feliciana,"Briley Street, Opelousas",W19-302,Raccoon,2018,1,Male,Adult,Unknown,Canine distemper,#COON-AM-StLandry-28November2018. Rabies virus was not detected.,11/29/18,12/14/18,Anderson/LaCour,LADWF,
012-19,Dalton,LA,St. Tammany,Fontainebleu State Park,W19-364,Raccoon,2019,1,Female,Adult,3.67 kg,Canine distemper,#COON-AF-StTammany-7January2019. Rabies virus was not detected.,01/08/2019,01/22/19,Burks/LaCour,LADWF,
033-19,Niedringhaus,GA,Madison,David Holmes Cl. Road,W19-398,Raccoon,2019,1,Male,Adult,4.13 kg,Canine distemper,Rabies virus and parvovirus were not detected,01/16/19,01/25/19,Jordan,GADNR,
092-19,Niedringhaus,GA,Glynn,Jekyll Island,W19-489,Raccoon,2019,1,Male,Adult,3.265 kg,Canine distemper,Rabies virus and parvovirus were not detected,02/22/19,03/14/19,Colbert/Horan,Jekyll Island/ GADNR,
095-19,Niedringhaus,NC,Gaston,Gaston city limits,W19-497,Raccoon,2019,1,Male,Adult,4.37 kg,Canine distemper,Rabies virus was not detected.,02/26/19,03/15/19,Ray,NCWRC,
172-19,Kunkel,GA,Fulton,"Stokes Avenue, SW Atlanta",W19-566,Raccoon,2019,1,Male,Adult,3.42 kg,Canine distemper,Rabies virus was not detected.,04/15/19,05/16/19,Reese/Johannsen,GADNR,
451-19,Dugovich,LA,East Baton Rouge,"Cross Keys Drive, Baton Rouge",W19-841,Raccoon,2019,1,Male,Juvenile,1.9 kg,Canine distemper,#COON-JM-EastBatonRouge-12August2019.  Rabies virus was not detected.,08/13/19,10/29/19,LeBlanc/LaCour,LADWF,
549-19,Kunkel,KY,Franklin,"Esperanza Drive, Frankfort",W19-873,Raccoon,2019,1,Male,Adult,3.59 kg,Canine distemper,#KDFWR-W-2019-35. Rabies virus was not detected.,09/06/2019,10/17/19,Casey,KYDFWR,
689-19,Dugovich,KS,Miami,"Mission Velvue Road, Louisburg",W19-948,Raccoon,2019,1,Female,Juvenile,2.34 kg,Canine distemper,Rabies virus was not detected.,10/02/2019,11/19/19,Hesting,KSDWPT,
879-19,Weyna,AR,Drew,Wilmar,W19-1039,Raccoon,2019,1,Male,Juvenile,1.93 kg,"Canine distemper (canine morbillivirus infection); severe intestinal nematodiasis (Macracanthorhynchus ingens) and intussusception (i.e., telescoping of the intestine)",Rabies virus was not detected.,11/21/19,12/06/2019,Ballard,ARGFC,
084-19,Niedringhaus,LA,Ascension,"Muddy Creek Road, Prairieville, LA",W19-483,Raccoon,2019,1,Female,Adult,3.31 kg,Canine distemper (systemic); hepatic schistosomiasis,#COON-AF-Ascension-20February2019.  Rabies virus antigen was not detected.,02/21/19,03/06/2019,Burks/LaCour,LADWF,
090-14 Addendum,Fenton,LA,Ascension,Gonzales,W14-96,Raccoon,2014,1,Female,Juvenile,2.5 lbs,Canine distemper virus,Salmonella sp. isolate determined to be Salmonella enterica serotype Hato.,03/12/2014,05/08/2015,Breland,LADWF,
090-14,Fenton,LA,Ascension,Gonzales,W14-96,Raccoon,2014,1,Female,Juvenile,2.5 lbs,Canine distemper virus,Negative for rabies,03/12/2014,04/02/2014,Breland,LADWF,
135-14,Fenton,KY,Meade,Otter Creek Outdoor Recreation Area,W14-168,Raccoon,2014,1,Female,Juvenile,2.46 kg,Canine distemper virus,Negative for rabies,04/17/14,05/16/14,Logsdon,KYDFWR,
178-14,Last,LA,Tangipahoa,Hammond,W14-237,Raccoon,2014,2,Male,Adult,"2.485 kg, 1.84 kg",Canine distemper virus,Negative for rabies,06/17/14,07/15/14,Ernst,LADWF,
011-15,Niedringhaus,GA,Fulton,"Barbara Lane, Sandy Springs",W15-206,Raccoon,2015,1,Male,Adult,3.70 kg,Canine distemper virus,Rabies not detected,01/21/15,02/03/2015,Larson,GADNR,
013-15,Niedringhaus,KS,Johnson,14915 Brentwood Drive,W15-208,Raccoon,2015,1,Male,Adult,3.72 kg,Canine distemper virus,Rabies not detected,01/22/15,02/12/2015,Hesting,KSDWPT,
022-15,Fenton,KS,Johnson,City of Lenexa.  38.97932    -94.74861,W15-216,Raccoon,2015,1,Female,Juvenile,4.12 kg,Canine distemper virus,Rabies and Leptospira sp. were not detected.,01/30/15,03/11/2015,Hesting,KSDWPT,
041-15,Fenton,KS,Johnson,8106 Summit within city of Lenexa,W15-231,Raccoon,2015,1,Male,Juvenile,3.6 kg,Canine distemper virus,#15-03925. Rabies not detected.,02/06/2015,03/13/15,Hesting,KSDWPT,
048-15,Niedringhaus,KS,Johnson,City of Lenexa,W15-243,Raccoon,2015,1,Male,Adult,4.08 kg,Canine distemper virus,Lenexa #15-04642.,02/11/2015,03/23/15,Hesting,KSDWPT,
053-15,Niedringhaus,GA,Glynn,Clam Creek Bike Path,W15-248,Raccoon,2015,1,Female,Adult,2.44 kg,Canine distemper virus,#14088,02/23/15,03/19/15,Ricks,GADNR,
055-15,Niedringhaus,GA,Glynn,Jekyll Island Club Hotel,W15-250,Raccoon,2015,1,Female,Adult,3.20 kg,Canine distemper virus,#14034,02/23/15,03/20/15,Ricks,GADNR,
056-15,Niedringhaus,GA,Glynn,Villas by the Sea,W15-251,Raccoon,2015,1,Male,Adult,5.18 kg,Canine distemper virus,#14062,02/23/15,04/03/2015,Ricks,GADNR,
057-15,Niedringhaus,GA,Glynn,Clam Creek Bait Shop,W15-252,Raccoon,2015,1,Female,Adult,2.18 kg,Canine distemper virus,#14047,02/23/15,04/03/2015,Ricks,GADNR,
062-15,Niedringhaus,GA,Glynn,Indian Mound Golf Club,W15-255,Raccoon,2015,1,Female,Juvenile,1.285 kg,Canine distemper virus,#14074,02/23/15,03/23/15,Ricks,GADNR,
116-15 Addendum,Elsmo,NC,Buncombe,Asheville,W15-301,Raccoon,2015,1,Female,Adult,3.5 kg,Canine distemper virus,Rabies not detected. Previous version erroneously stated in the Microbiology Section that CDV was not detected. ,03/25/15,06/25/15,,,
116-15,Elsmo,NC,Buncombe,Asheville,W15-301,Raccoon,2015,1,Female,Adult,3.5 kg,Canine distemper virus,Rabies not detected,03/25/15,06/03/2015,,,
137-15,Niedringhaus,MS,Lafayette,"14 CR 240, Oxford",W15-332,Raccoon,2015,1,Female,Adult,3.895 kg,Canine distemper virus,Rabies not detected,03/30/15,04/23/15,,,
140-15,Niedringhaus,KY,Pulaski,"3667 Hwy 1675, Somerset",W15-335,Raccoon,2015,1,Female,Adult,5.44 kg,Canine distemper virus,Rabies not detected,03/31/15,05/19/15,,,
196-15,Elsmo,KY,Shelby,Unknown,W15-383,Raccoon,2015,1,Male,Adult,3.38 kg,Canine distemper virus,Rabies virus and eastern equine encephalitis were not detected.,05/06/2015,07/01/2015,Stasiak,KYDFWR,
211-15,Niedringhaus,KY,Meade,Otter Creek Outdoor Recreation Area,W15-382,Raccoon,2015,1,Female,Juvenile,3.7 kg,Canine distemper virus,Rabies not detected,05/15/15,05/27/15,Logsdon,KYDFWR,
563-15,Fenton,NC,Brunswick,south of Hwy 21,W16-317,Raccoon,2015,1,Female,Juvenile,2.33 kg,Canine distemper virus,Rabies not detected,10/15/15,11/24/15,Padgett,NCWRC,
639-15,Bahnson,WV,Wood,Parkersburg,,Raccoon,2015,1,Male,Adult,3.70 kg,Canine distemper virus,,11/20/15,12/01/2015,McCrady,WVDNR,
001-16,Bahnson,KY,McLean,Calhoun,,Raccoon,2016,1,Male,Adult,5.14 kg,Canine distemper virus,#KDFWR-W-2016-01.  Rabies not detected.,01/05/2016,01/22/16,Stasiak,KYDFWR,
016-16,Niedringhaus,KY,Taylor,"Blossom Lane, Campbellsville",W16-436,Raccoon,2016,1,Male,Adult,5.21 kg,Canine distemper virus,#KDFWR-W-2016-03.  Rabies not detected.,01/13/16,01/26/16,Mason/Stasiak,KYDFWR,
017-16,Niedringhaus,KY,Taylor,"Lake Forest Drive, Campbellsville",W16-437,Raccoon,2016,1,Female,Adult,5.21 kg,Canine distemper virus,#KDFWR-W-2016-02.  Rabies not detected,01/13/16,02/16/16,Mason/Stasiak,KYDFWR,
232-16,Bahnson,LA,Ascension,Prairieville,W16-683,Raccoon,2016,1,Female,Adult,3.53 kg,Canine distemper virus,Rabies not detected,04/29/16,06/23/16,LaCour,LADWF,
617-17,Bryan,KS,Lyon,38.428935 -96.198709,W18-191,Raccoon,2017,1,Female,Juvenile,1.3 kg,Canine distemper virus,Rabies virus not detected,10/11/2017,12/04/2017,Hesting,KSDWPT,
684-17,Niedringhaus,AR,Sebastian,Unknown,W18-207,Raccoon,2017,1,Male,Adult,2.42 kg,Canine distemper virus,#AR17-0019. Rabies virus was not detected.,11/03/2017,11/21/17,Ballard,ARGFC,
195-18,Bahnson,KY,Cumberland,"N32.683025, W-85.425608",W18-514,Raccoon,2018,1,Male,Adult,3.32 kg,Canine distemper virus,#KDFWR-W-2018-40.  Rabies virus was not detected.,05/22/18,06/15/18,Mason/Hemberger,KYDFWR,
272-18,Niedringhaus,WV,Raleigh,Glade Springs Resort,W19-005,Raccoon,2018,1,Female,Adult,3.19 kg,Canine distemper virus,Rabies virus was not detected.,06/27/18,07/19/18,Dowdy,WVDNR,
282-18,Bahnson,LA,Vernon,"Aaron Avenue, Leesville",W18-019,Raccoon,2018,1,Female,Adult,3.12 kg,Canine distemper virus,#COON-AF-Vernon-30June2018. Rabies virus was not detected.,07/03/2018,07/31/18,Bennett/LaCour,LADWF,
700-18,Kunkel,LA,St. Tammany,"LA-1089, Mandeville",W19-341,Raccoon,2018,1,Male,Adult,3.3 kg,Canine distemper virus,#COON-AM-StTammany-14December2018. Rabies virus was not detected.,12/18/18,01/31/19,Day/LaCour,LADWF,
167-19,Kunkel,PA,Susquehanna,Clifford Township,-,Raccoon,2019,1,Female,Adult,4.5 g,Canine distemper virus,#19NE0009. Rabies virus not detected (tested prior to submission),04/11/2019,04/18/19,Miller/Wenner,PAGC,
951-19,Kunkel,PA,Erie,"42.02098, -80.34751",-,Raccoon,2019,1,Female,Adult,Unknown,Canine distemper virus antigen detected,"19NW00042, P1931667",12/13/19,12/18/19,Luley/Coup,PAGC,
166-16 Addendum,Niedringhaus,FL,Duval,Neptune Beach,W16-614,Raccoon,2016,1,Male,Adult,~4.5 kg,Canine distemper virus detected,The species of protozoa detected in the brain could not be determined.,03/29/16,06/02/2016,Clemons/Cunningham,FLFWCC,
166-16,Niedringhaus,FL,Duval,Neptune Beach,-,Raccoon,2016,1,Male,Adult,~4.5 kg,Canine distemper virus detected,Spinal cord and peripheral nerves were not available for histopathology.,03/29/16,05/09/2016,Clemons/Cunningham,FLFWCC,
215-16,Niedringhaus,KY,Bell,Bartlett Park Picnic area - in the woods,-,Raccoon,2016,1,Female,Adult,1.47 kg,Canine distemper virus infection,#KDFWR-W-2016-65. Rabies not detected,04/20/16,04/28/16,Beeler/Stasiak,KYDFWR,
106-17,Dalton,KS,Franklin,38.400779 -95.256311,W17-482,Raccoon,2017,1,Female,Adult,3.7 kg,Canine distemper virus; Schistosomiasis,Rabies not detected,02/17/17,04/18/17,Hesting,KSDWPT,
235-17,Ruder,NC,Onslow,Camp Lejeune,W17-639,Raccoon,2017,1,Male,Juvenile,3.7 kg,Canine distemper with parasitic pneumonia (suspected Crenosoma vulpis),Rabies not detected,05/04/2017,07/19/17,Stanford,NCWRC,
191-18,Ruder,LA,Washington,"Smokey Creek Lane, Bogalusa",W18-510,Raccoon,2018,1,Female,Juvenile,2.35 kg,Canine distemper with parasitic pneumonia (suspected Crenosoma vulpis),Rabies was not detected.,05/18/18,07/02/2018,LaCour,LADWF,
192-18,Ruder,KY,Bath,Unknown,W18-511,Raccoon,2018,1,Female,Adult,2.57 kg,Canine distemper with parasitic pneumonia (suspected Crenosoma vulpis),#KDFWR-W-2018-32. Rabies was not detected.,05/18/18,07/09/2018,Hemberger/Gregory,KYDFWR,
106-18,Ruder,LA,St. Tammany,"Maple Street, Pearl River",W18-432,Raccoon,2018,1,Female,Adult,2.8 kg,Canine distemper with protozoal encephalitis (Sarcocystis sp.),#COON-AF-StTammany-15March2018.  Rabies was not detected.,03/20/18,05/16/18,Yeldell/LaCour,LADWF,
